Codsipra,Assentamento,Município,nomePA
PR0217000,PINGO DE OURO,ALTAMIRA DO PARANA,PAPINGODEOURO
PR0239000,IRACI SALETE,ALVORADA DO SUL,PAIRACISALETE
PR0156000,ANTONIO CONSELHEIRO,AMAPORA,PAANTONIOCONSELHEIRO
PR0300000,COMPANHEIRA ROSELI NUNES,AMAPORA,PACOMPANHEIRAROSELINUNES
PR0268000,DORCELINA FOLADOR,ARAPONGAS,PADORCELINAFOLADOR
PR0006000,POTY,ARAPOTI,PAPOTY
PR0260000,BANDEIRANTES,BANDEIRANTES,PABANDEIRANTES
PR0162000,COLETIVO DA FRONTEIRA,BARRACAO,PACOLETIVODAFRONTEIRA
PR0274000,COLMÉIA,BARRACAO,PACOLMEIA
PR0062000,ETIENE,BITURUNA,PAETIENE
PR0063000,RONDON III,BITURUNA,PARONDONIII
PR0175000,SANTA BÁRBARA,BITURUNA,PASANTABARBARA
PR0178000,12 DE ABRIL,BITURUNA,PA12DEABRIL
PR0191000,CRICIUMINHA,BITURUNA,PACRICIUMINHA
PR0383000,SONHO DE ROSE,BITURUNA,PASONHODEROSE
PR0287000,ACOPAM,BOA VENTURA DE SAO ROQUE,PAACOPAM
PR0042000,FAXINAL DAS ARARAS,CAMPINA DO SIMAO,PAFAXINALDASARARAS
PR0046000,SERRO VERDE,CAMPINA DO SIMAO,PASERROVERDE
PR0083000,CAMPO BONITO,CAMPO BONITO,PACAMPOBONITO
PR0276000,ILHA DAS FLORES,CANDIDO DE ABREU,PAILHADASFLORES
PR0307000,TERRA E VIDA,CANDIDO DE ABREU,PATERRAEVIDA
PR0314000,19 DE JUNHO,CANDIDO DE ABREU,PA19DEJUNHO
PR0389000,VALE DA CONQUISTA,CANDIDO DE ABREU,PAVALEDACONQUISTA
PR0015000,COLÔNIA SÃO JOÃO BATISTA,CANDOI,PACOLONIASAOJOAOBATISTA
PR0237000,ÁGUAS DE SANTA CLARA,CANDOI,PAAGUASDESANTACLARA
PR0258000,MATA DO CAVERNOSO,CANDOI,PAMATADOCAVERNOSO
PR0328000,8 DE OUTUBRO,CANDOI,PA8DEOUTUBRO
PR0385000,UNIÃO SÃO PEDRO,CANDOI,PAUNIAOSAOPEDRO
PR0035000,JUQUIA DE CIMA,CANTAGALO,PAJUQUIADECIMA
PR0047000,OURO VERDE,CANTAGALO,PAOUROVERDE
PR0065000,JARAU,CANTAGALO,PAJARAU
PR0102000,ARARAI,CANTAGALO,PAARARAI
PR0109000,SANTA LUZIA,CANTAGALO,PASANTALUZIA
PR0136000,NOSSA SENHORA DAS VITÓRIAS,CANTAGALO,PANOSSASENHORADASVITORIAS
PR0080000,RIBEIRÃO BONITO,CARLOPOLIS,PARIBEIRAOBONITO
PR0403000,ELIAS GONÇALVES DE MEURA,CARLOPOLIS,PAELIASGONCALVESDEMEURA
PR0143000,SANTA TEREZINHA,CASCAVEL,PASANTATEREZINHA
PR0194000,JANGADINHA,CASCAVEL,PAJANGADINHA
PR0315000,VALMIR MOTA DE OLIVEIRA,CASCAVEL,PAVALMIRMOTADEOLIVEIRA
PR0037000,TRÊS PINHEIROS,CASTRO,PATRESPINHEIROS
PR0111000,TRÊS LAGOAS,CASTRO,PATRESLAGOAS
PR0303000,SÃO SEBASTIÃO,CASTRO,PASAOSEBASTIAO
PR0318000,MARIA LARA,CENTENARIO DO SUL,PAMARIALARA
PR0012000,NOVA CONQUISTA,CHOPINZINHO,PANOVACONQUISTA
PR0007000,SERRANO,CLEVELANDIA,PASERRANO
PR0304000,HO CHI MINH,CONGONHINHAS,PAHOCHIMINH
PR0312000,ROSA LUXEMBURGO,CONGONHINHAS,PAROSALUXEMBURGO
PR0334000,CARLOS MARIGHELLA,CONGONHINHAS,PACARLOSMARIGHELLA
PR0423000,ROBSON DE SOUZA,CONGONHINHAS,PAROBSONDESOUZA
PR0069000,BOM RETIRO BUTIA,CORONEL DOMINGOS SOARES,PABOMRETIROBUTIA
PR0146000,TERRA BOA,CORONEL DOMINGOS SOARES,PATERRABOA
PR0174000,ESTRELA DO MEIO,CORONEL DOMINGOS SOARES,PAESTRELADOMEIO
PR0266000,RETIRO I,CORONEL DOMINGOS SOARES,PARETIROI
PR0395000,ANDER RODOLFO HENRIQUE,DIAMANTE DO OESTE,PAANDERRODOLFOHENRIQUE
PR0094000,1ª CONQUISTA DE BRACATINGA,ESPIGAO ALTO DO IGUACU,PA1ACONQUISTADEBRACATINGA
PR0230000,FAROL,FAROL,PAFAROL
PR0243000,SITIO SÃO JOÃO,FAROL,PASITIOSAOJOAO
PR0164000,TRÊS BARRAS,FAXINAL,PATRESBARRAS
PR0158000,AVENCAL,FERNANDES PINHEIRO,PAAVENCAL
PR0201000,FAXINAL DOS MINEIROS,FERNANDES PINHEIRO,PAFAXINALDOSMINEIROS
PR0225000,JOSÉ GOMES DA SILVA,FERNANDES PINHEIRO,PAJOSEGOMESDASILVA
PR0185000,FLORESTAN FERNANDES,FLORESTOPOLIS,PAFLORESTANFERNANDES
PR0152000,MISSÕES,FRANCISCO BELTRAO,PAMISSOES
PR0141000,COLINA VERDE,GENERAL CARNEIRO,PACOLINAVERDE
PR0255000,RIO CATEQUESE,GENERAL CARNEIRO,PARIOCATEQUESE
PR0033000,FAZENDA CAVACO,GOIOXIM,PAFAZENDACAVACO
PR0045000,COLONIA PIQUIRI,GOIOXIM,PACOLONIAPIQUIRI
PR0067000,VOLTA GRANDE,GOIOXIM,PAVOLTAGRANDE
PR0068000,TUNAS E TUNINHAS,GOIOXIM,PATUNASETUNINHAS
PR0070000,NOVA ESPERANÇA DO PÍQUIRI,GOIOXIM,PANOVAESPERANCADOPIQUIRI
PR0076000,ÁGUA FRIA,GOIOXIM,PAAGUAFRIA
PR0096000,SANTO ANTONIO,GOIOXIM,PASANTOANTONIO
PR0099000,JABUTICABAL,GOIOXIM,PAJABUTICABAL
PR0100000,29 DE AGOSTO,GOIOXIM,PA29DEAGOSTO
PR0101000,SANTA CLARA,GOIOXIM,PASANTACLARA
PR0181000,ROLA PEDRA,GUAMIRANGA,PAROLAPEDRA
PR0182000,PEDRA PRETA,GUAMIRANGA,PAPEDRAPRETA
PR0077000,SÃO PEDRO,GUARAPUAVA,PASAOPEDRO
PR0154000,FAZENDA CAROLINA,GUARAPUAVA,PAFAZENDACAROLINA
PR0180000,PAIOL DE TELHA,GUARAPUAVA,PAPAIOLDETELHA
PR0234000,EUROPA,GUARAPUAVA,PAEUROPA
PR0235000,ROSA,GUARAPUAVA,PAROSA
PR0246000,FAZENDA BANANAS,GUARAPUAVA,PAFAZENDABANANAS
PR0325000,NOVA GERAÇÃO,GUARAPUAVA,PANOVAGERACAO
PR0418000,13 DE NOVEMBRO,GUARAPUAVA,PA13DENOVEMBRO
PR0024000,FAZENDA LAGOA,HONORIO SERPA,PAFAZENDALAGOA
PR0036000,CHOPIM,HONORIO SERPA,PACHOPIM
PR0040000,CHOPIM - I,HONORIO SERPA,PACHOPIMI
PR0060000,CHOPIM II,HONORIO SERPA,PACHOPIMII
PR0064000,CHOPIM III,HONORIO SERPA,PACHOPIMIII
PR0071000,CHOPIM IV,HONORIO SERPA,PACHOPIMIV
PR0098000,SANTA CATARINA,HONORIO SERPA,PASANTACATARINA
PR0105000,NOVA TERRA,HONORIO SERPA,PANOVATERRA
PR0124000,NOVA CONCORDIA,HONORIO SERPA,PANOVACONCORDIA
PR0128000,JACUTINGA,HONORIO SERPA,PAJACUTINGA
PR0265000,TUPY,HONORIO SERPA,PATUPY
PR0086000,MODELO,IBAITI,PAMODELO
PR0127000,MARIMBONDO,IBAITI,PAMARIMBONDO
PR0148000,VALE VERDE,IBAITI,PAVALEVERDE
PR0369000,RIBEIRINHO,ICARAIMA,PARIBEIRINHO
PR0370000,ZARANTONELLO,ICARAIMA,PAZARANTONELLO
PR0112000,GUANABARA,IMBAU,PAGUANABARA
PR0074000,BOM RETIRO,INACIO MARTINS,PABOMRETIRO
PR0117000,FAXINAL DOS RODRIGUES,INACIO MARTINS,PAFAXINALDOSRODRIGUES
PR0122000,JOSÉ DIAS,INACIO MARTINS,PAJOSEDIAS
PR0375000,EVANDRO FRANCISCO,INACIO MARTINS,PAEVANDROFRANCISCO
PR0257000,SANTANA DO IPIRANGA,IPIRANGA,PASANTANADOIPIRANGA
PR0205000,ÁGUAS DE JUREMA,IRETAMA,PAAGUASDEJUREMA
PR0278000,NATA,IRETAMA,PANATA
PR0373000,MUQUILÃO,IRETAMA,PAMUQUILAO
