tipo,data,origem
mutirao,29/08/2022,Mutirão RBI - Marcos Freire
mutirao,30/08/2022,Mutirão RBI - Marcos Freire
mutirao,31/08/2022,Mutirão RBI - Marcos Freire
mutirao,01/09/2022,Mutirão RBI - Marcos Freire
mutirao,02/09/2022,Mutirão RBI - Marcos Freire
mutirao,17/10/2022,Mutirão Mangueirinha
mutirao,18/10/2022,Mutirão Mangueirinha
mutirao,19/10/2022,Mutirão Mangueirinha
mutirao,20/10/2022,Mutirão Mangueirinha
mutirao,21/10/2022,Mutirão Mangueirinha
mutirao,19/06/2023,Mutirão Marmeleiro
mutirao,20/06/2023,Mutirão Marmeleiro
mutirao,21/06/2023,Mutirão Marmeleiro
mutirao,22/06/2023,Mutirão Marmeleiro
mutirao,23/06/2023,Mutirão Marmeleiro
mutirao,04/12/2023,Mutirão Inácio Martins
mutirao,05/12/2023,Mutirão Inácio Martins
mutirao,06/12/2023,Mutirão Inácio Martins
mutirao,07/12/2023,Mutirão Inácio Martins
mutirao,08/12/2023,Mutirão Inácio Martins
mutirao,09/06/2024,Mutirão São Jerônimo da Serra
mutirao,10/06/2024,Mutirão São Jerônimo da Serra
mutirao,11/06/2024,Mutirão São Jerônimo da Serra
mutirao,12/06/2024,Mutirão São Jerônimo da Serra
mutirao,13/06/2024,Mutirão São Jerônimo da Serra
mutirao,14/06/2024,Mutirão São Jerônimo da Serra
mutirao,15/06/2024,Mutirão São Jerônimo da Serra
mutirao,16/06/2024,Mutirão São Jerônimo da Serra
mutirao,24/11/2024,Mutirão Bituruna
mutirao,25/11/2024,Mutirão Bituruna
mutirao,26/11/2024,Mutirão Bituruna
mutirao,27/11/2024,Mutirão Bituruna
mutirao,28/11/2024,Mutirão Bituruna
mutirao,29/11/2024,Mutirão Bituruna
mutirao,30/11/2024,Mutirão Bituruna
mutirao,01/12/2024,Mutirão Bituruna
mutirao,02/12/2024,Mutirão Bituruna
mutirao,03/12/2024,Mutirão Bituruna
mutirao,04/12/2024,Mutirão Bituruna
vistoria,27/06/2022,Vistorias Bandeirantes
vistoria,28/06/2022,Vistorias Bandeirantes
vistoria,29/06/2022,Vistorias Bandeirantes
vistoria,30/06/2022,Vistorias Bandeirantes
vistoria,01/07/2022,Vistorias Bandeirantes
vistoria,27/02/2023,Vistorias Mangueirinha
vistoria,28/02/2023,Vistorias Mangueirinha
vistoria,01/03/2023,Vistorias Mangueirinha
vistoria,02/03/2023,Vistorias Mangueirinha
vistoria,24/04/2023,Vistorias RBI - Marcos Freire
vistoria,25/04/2023,Vistorias RBI - Marcos Freire
vistoria,26/04/2023,Vistorias RBI - Marcos Freire
vistoria,27/04/2023,Vistorias RBI - Marcos Freire
vistoria,28/04/2023,Vistorias RBI - Marcos Freire
vistoria,31/07/2023,Vistorias Marmeleiro
vistoria,01/08/2023,Vistorias Marmeleiro
vistoria,02/08/2023,Vistorias Marmeleiro
vistoria,03/08/2023,Vistorias Marmeleiro
vistoria,04/08/2023,Vistorias Marmeleiro
vistoria,25/09/2023,Vistorias Francisco Beltrão
vistoria,26/09/2023,Vistorias Francisco Beltrão
vistoria,27/09/2023,Vistorias Francisco Beltrão
vistoria,28/09/2023,Vistorias Francisco Beltrão
vistoria,29/09/2023,Vistorias Francisco Beltrão
vistoria,19/02/2024,Vistorias Laranjeiras do Sul
vistoria,20/02/2024,Vistorias Laranjeiras do Sul
vistoria,21/02/2024,Vistorias Laranjeiras do Sul
vistoria,22/02/2024,Vistorias Laranjeiras do Sul
vistoria,23/02/2024,Vistorias Laranjeiras do Sul
vistoria,11/03/2024,Vistorias Diamante d'Oeste
vistoria,12/03/2024,Vistorias Diamante d'Oeste
vistoria,13/03/2024,Vistorias Diamante d'Oeste
vistoria,14/03/2024,Vistorias Diamante d'Oeste
vistoria,15/03/2024,Vistorias Diamante d'Oeste
vistoria,14/04/2024,Vistorias Manoel Ribas
vistoria,15/04/2024,Vistorias Manoel Ribas
vistoria,16/04/2024,Vistorias Manoel Ribas
vistoria,17/04/2024,Vistorias Manoel Ribas
vistoria,18/04/2024,Vistorias Manoel Ribas
vistoria,19/04/2024,Vistorias Manoel Ribas
vistoria,20/04/2024,Vistorias Manoel Ribas
vistoria,21/04/2024,Vistorias Manoel Ribas
vistoria,06/05/2024,Vistorias Lapa
vistoria,07/05/2024,Vistorias Lapa
vistoria,08/05/2024,Vistorias Lapa
vistoria,09/05/2024,Vistorias Lapa
vistoria,10/05/2024,Vistorias Lapa
vistoria,11/05/2024,Vistorias Lapa
vistoria,12/05/2024,Vistorias Lapa
vistoria,13/05/2024,Vistorias Lapa
vistoria,14/05/2024,Vistorias Lapa
vistoria,15/05/2024,Vistorias Lapa
vistoria,14/07/2024,Vistorias Reserva do Iguaçu
