Codsipra,Assentamento,Município
PR0217000,PINGO DE OURO,ALTAMIRA DO PARANA
PR0239000,IRACI SALETE,ALVORADA DO SUL
PR0156000,ANTONIO CONSELHEIRO,AMAPORA
PR0300000,COMPANHEIRA ROSELI NUNES,AMAPORA
PR0268000,DORCELINA FOLADOR,ARAPONGAS
PR0006000,POTY,ARAPOTI
PR0260000,BANDEIRANTES,BANDEIRANTES
PR0162000,COLETIVO DA FRONTEIRA,BARRACAO
PR0274000,COLMÉIA,BARRACAO
PR0062000,ETIENE,BITURUNA
PR0063000,RONDON III,BITURUNA
PR0175000,SANTA BÁRBARA,BITURUNA
PR0178000,12 DE ABRIL,BITURUNA
PR0191000,CRICIUMINHA,BITURUNA
PR0383000,SONHO DE ROSE,BITURUNA
PR0287000,ACOPAM,BOA VENTURA DE SAO ROQUE
PR0042000,FAXINAL DAS ARARAS,CAMPINA DO SIMAO
PR0046000,SERRO VERDE,CAMPINA DO SIMAO
PR0083000,CAMPO BONITO,CAMPO BONITO
PR0276000,ILHA DAS FLORES,CANDIDO DE ABREU
PR0307000,TERRA E VIDA,CANDIDO DE ABREU
PR0314000,19 DE JUNHO,CANDIDO DE ABREU
PR0389000,VALE DA CONQUISTA,CANDIDO DE ABREU
PR0015000,COLÔNIA SÃO JOÃO BATISTA,CANDOI
PR0237000,ÁGUAS DE SANTA CLARA,CANDOI
PR0258000,MATA DO CAVERNOSO,CANDOI
PR0328000,8 DE OUTUBRO,CANDOI
PR0385000,UNIÃO SÃO PEDRO,CANDOI
PR0035000,JUQUIA DE CIMA,CANTAGALO
PR0047000,OURO VERDE,CANTAGALO
PR0065000,JARAU,CANTAGALO
PR0102000,ARARAI,CANTAGALO
PR0109000,SANTA LUZIA,CANTAGALO
PR0136000,NOSSA SENHORA DAS VITÓRIAS,CANTAGALO
PR0080000,RIBEIRÃO BONITO,CARLOPOLIS
PR0403000,ELIAS GONÇALVES DE MEURA,CARLOPOLIS
PR0143000,SANTA TEREZINHA,CASCAVEL
PR0194000,JANGADINHA,CASCAVEL
PR0315000,VALMIR MOTA DE OLIVEIRA,CASCAVEL
PR0037000,TRÊS PINHEIROS,CASTRO
PR0111000,TRÊS LAGOAS,CASTRO
PR0303000,SÃO SEBASTIÃO,CASTRO
PR0318000,MARIA LARA,CENTENARIO DO SUL
PR0012000,NOVA CONQUISTA,CHOPINZINHO
PR0007000,SERRANO,CLEVELANDIA
PR0304000,HO CHI MINH,CONGONHINHAS
PR0312000,ROSA LUXEMBURGO,CONGONHINHAS
PR0334000,CARLOS MARIGHELLA,CONGONHINHAS
PR0423000,ROBSON DE SOUZA,CONGONHINHAS
PR0069000,BOM RETIRO BUTIA,CORONEL DOMINGOS SOARES
PR0146000,TERRA BOA,CORONEL DOMINGOS SOARES
PR0174000,ESTRELA DO MEIO,CORONEL DOMINGOS SOARES
PR0266000,RETIRO I,CORONEL DOMINGOS SOARES
PR0395000,ANDER RODOLFO HENRIQUE,DIAMANTE DO OESTE
PR0094000,1ª CONQUISTA DE BRACATINGA,ESPIGAO ALTO DO IGUACU
PR0230000,FAROL,FAROL
PR0243000,SITIO SÃO JOÃO,FAROL
PR0164000,TRÊS BARRAS,FAXINAL
PR0158000,AVENCAL,FERNANDES PINHEIRO
PR0201000,FAXINAL DOS MINEIROS,FERNANDES PINHEIRO
PR0225000,JOSÉ GOMES DA SILVA,FERNANDES PINHEIRO
PR0185000,FLORESTAN FERNANDES,FLORESTOPOLIS
PR0152000,MISSÕES,FRANCISCO BELTRAO
PR0141000,COLINA VERDE,GENERAL CARNEIRO
PR0255000,RIO CATEQUESE,GENERAL CARNEIRO
PR0033000,FAZENDA CAVACO,GOIOXIM
PR0045000,COLONIA PIQUIRI,GOIOXIM
PR0067000,VOLTA GRANDE,GOIOXIM
PR0068000,TUNAS E TUNINHAS,GOIOXIM
PR0070000,NOVA ESPERANÇA DO PÍQUIRI,GOIOXIM
PR0076000,ÁGUA FRIA,GOIOXIM
PR0096000,SANTO ANTONIO,GOIOXIM
PR0099000,JABUTICABAL,GOIOXIM
PR0100000,29 DE AGOSTO,GOIOXIM
PR0101000,SANTA CLARA,GOIOXIM
PR0181000,ROLA PEDRA,GUAMIRANGA
PR0182000,PEDRA PRETA,GUAMIRANGA
PR0077000,SÃO PEDRO,GUARAPUAVA
PR0154000,FAZENDA CAROLINA,GUARAPUAVA
PR0180000,PAIOL DE TELHA,GUARAPUAVA
PR0234000,EUROPA,GUARAPUAVA
PR0235000,ROSA,GUARAPUAVA
PR0246000,FAZENDA BANANAS,GUARAPUAVA
PR0325000,NOVA GERAÇÃO,GUARAPUAVA
PR0418000,13 DE NOVEMBRO,GUARAPUAVA
PR0024000,FAZENDA LAGOA,HONORIO SERPA
PR0036000,CHOPIM,HONORIO SERPA
PR0040000,CHOPIM - I,HONORIO SERPA
PR0060000,CHOPIM II,HONORIO SERPA
PR0064000,CHOPIM III,HONORIO SERPA
PR0071000,CHOPIM IV,HONORIO SERPA
PR0098000,SANTA CATARINA,HONORIO SERPA
PR0105000,NOVA TERRA,HONORIO SERPA
PR0124000,NOVA CONCORDIA,HONORIO SERPA
PR0128000,JACUTINGA,HONORIO SERPA
PR0265000,TUPY,HONORIO SERPA
PR0086000,MODELO,IBAITI
PR0127000,MARIMBONDO,IBAITI
PR0148000,VALE VERDE,IBAITI
PR0369000,RIBEIRINHO,ICARAIMA
PR0370000,ZARANTONELLO,ICARAIMA
PR0112000,GUANABARA,IMBAU
PR0074000,BOM RETIRO,INACIO MARTINS
PR0117000,FAXINAL DOS RODRIGUES,INACIO MARTINS
PR0122000,JOSÉ DIAS,INACIO MARTINS
PR0375000,EVANDRO FRANCISCO,INACIO MARTINS
PR0257000,SANTANA DO IPIRANGA,IPIRANGA
